A1,Elohim-001_Behold_child,01,Detector at start of A1
A1,Elohim-002_All_across_this_land,02,Detector at end of tutorial area (before middle of A1)
A1,Elohim-007_You_will_not_need,07,"Collecting a tetro before opening the gate and having exactly one yellow tetro, but not (>=2 DJs and exactly 1 DZ)"
Any Main Game,Elohim-037_The_guardians_of_this_land,37,"Respawning after dying to a mine or turret while having flag ""Overlay_Tutorial_14_Barrier_Shown"""
A1,Elohim-004_The_shapes_you_are,04,Collecting a tetro before opening the gate and having one of the gate sigils
A1,Elohim-005_Well_done_child_only,05,Collecting a tetro before opening the gate and having two of the gate sigils
A1,Elohim-009_Well_done_but_you,09,Collecting a tetro before opening the gate and having >2 DJs and <1 DZs
A1,Elohim-006_My_temple_awaits,06,"Collecting a tetro before opening the gate and having >=2 DJs and exactly 1 DZ
Sets flag for dialog 10"
A1,Elohim-010_My_child_you_do_not_need_to,10,Enter a puzzle after collecting the sigils for the gate without opening it
A1,Elohim-011_You_are_most_diligent,11,"Collecting a tetro before opening the gate and having exactly 3 DJs, 1 DZ, and 1 yellow tetro
OR collecting a sigil after opening the gate and having exactly 3 DJs, 1 DZ, 2 yellow tetros, and 1 DI"
A1,Elohim-012_Step_into_the_light,12,Detector near exit
Nexus,Elohim-013_You_walk_now_upon,13,Detector right after leaving A1
"Any Cloud Level
Not A1",Elohim-014_Let_this_be_our_covenant,14,"On level change
Sets flag for dialog 15"
Any Main Game,Elohim-015_Good_you_are_learning,15,"On collecting a tetro, after having entered a world outside of A1"
Nexus,Elohim-027_There_is_much_that_you_may,27,"""UnlockingAnimFinished"" event on connector +2s"
Any Cloud Level,Elohim-016_These_worlds_and_we,16,"On level change, when having 15 DMN tetros"
A4,Elohim-053_Behold_I_am_Elohim,53,Glitchstorm detector +2s
A4,Elohim-054_Excess_data_cleared,54,"Glitchstorm detector +MIN(last dialog finish +2.25s, 24.25s)"
Any Cloud Level,Elohim-017_Long_ago_I_shaped,17,"On level change, when having 21 DMN tetros"
Nexus,Elohim-030_Rejoice_child,30,"On level change, when having flag ""StoryVO_Episode1"" (collecting all DMN tetros in A)"
Any Cloud Level,Elohim-018_I_have_promised,18,"On level change, when having 28 DMN tetros"
Nexus,Elohim-029_You_have_proven_yourself_worthy,29,A elevator button 0 used
Nexus,Elohim-031_A_new_land,31,B elevator button -1 used
B1,Elohim-050_Cease,50,Collecting Road of Death then hitting detector +6s
B1,Elohim-051_In_the_time_of_your_ancestors,51,Collecting Road of Death then hitting detector +9.5s
Any Cloud Level,Elohim-019_I_see_all,19,"On level change, when having 35 DMN tetros"
Any Cloud Level,Elohim-020_You_may_wonder,20,"On level change, when having 42 DMN tetros"
B4,Elohim-055_What_is_this,55,Entering ABUH +4s
Any Cloud Level,Elohim-021_You_have_solved,21,"On level change, when having 49 DMN tetros"
Any Cloud Level,Elohim-022_When_you_overcome,22,"On level change, when having 56 DMN tetros"
Nexus,Elohim-033_The_land_of_tombs,33,"On level change, when having flag ""StoryVO_Episode2"" (collecting all DMN tetros in B)"
Nexus,Elohim-034_You_have_come_far,34,C elevator button -1 used
Any Cloud Level,Elohim-023_Chaos_is_that,23,"On level change, when having 63 DMN tetros"
Any Main Game,Elohim-040_Your_wisdom_grows,40,"On collecting a tetro, when having >=1 NI, >=2 NO, >=4 NT, >=1 NJ, and >=1 NL"
Any Island Level,Elohim-046_Those_who_have_discovered,46,"Entering level +5s, when not having flag ""MessengerEnding"""
Any Cloud Level,Elohim-024_Before_the_Age_of_Chaos,24,"On level change, when having 70 DMN tetros"
Nexus,Elohim-045_There_are_mysteries,45,Detectors near star-locked doors
Nexus,Elohim-035_You_stand_before,35,"Detector in front of gates of eternity, when they are closed"
Any Cloud Level,Elohim-025_Many_ages_have_passed,25,"On level change, when having 77 DMN tetros"
Nexus,Elohim-028_You_have_come_far,28,"""UnlockingAnimFinished"" event on platform +2s"
Any Cloud Level,Elohim-026_My_faith_in_you,26,"On level change, when having 84 DMN tetros"
Any Main Game,Elohim-038_Here_those_who_are,38,"""OnHelpAltarSeen"""
Any Main Game,Elohim-039_The_counsel_of_my,39,"""OnHelpAltarUnavailable"""
Any Main Game,Elohim-078_Do_not_think,78,"Terminal halt event 7 (Milton2_4, just mash enter??)"
Any Main Game,Elohim-072_My_child_you_are_in_danger,72,"Terminal halt event 1 (Milton3_5, potentially switch from constructivist to nihlist)"
Any Main Game,Elohim-073_Enough,73,"Terminal halt event 2 (Milton3_5, start banish path)"
Any Main Game,Elohim-074_You_have_done_well,74,"Terminal halt event 3 (Milton3_5, start banish path)"
Any Main Game,Elohim-075_Look_within_you,75,"Terminal halt event 4 (Milton3_5, start banish path)"
Any Main Game,Elohim-077_You_have_already_chosen,77,"Terminal halt event 6 (Milton3_5, try to refuse to banish milton)"
Any Main Game,Elohim-076_Have_faith,76,"Terminal halt event 5 (Milton3_5, banish milton)"
Any?,Elohim-041_My_child_there_is_no_shame,41,Getting stuck in a puzzle your first time
Any?,Elohim-042_If_the_answer_does_not_come_to_you,42,Getting stuck in a puzzle your second time
Any?,Elohim-043_When_the_truth,43,Getting stuck in a puzzle your third time
Any?,Elohim-044_If_this_trial_seems,44,Getting stuck in a puzzle your fourth time
Nexus,Elohim-069_And_so_it_is_done,69,"On level change, when having 90 DMN tetros"
Nexus,Elohim-036_Your_faith_has,36,"On level change, when having flag ""StoryVO_Episode3"" (collecting all DMN tetros in C)"
Nexus,Elohim-070_Come_forward,70,"Detector in front of gates of eternity, when they are open"
Nexus,Elohim-056_Cannot_detect_location,56,Main elevator starts moving from floor 0
Nexus,Elohim-060B_Where_have_you_been,60,"Detector after leaving floor 0 building after arriving at floor 0 when (having unlocked no floors OR unlocked floors and all floor related dialogs (62, 61, or 59) already played)"
Nexus,Elohim-057_Tracking_of_primary_subject,57,"After dialog 56, return to cloud world then when main elevator starts moving from floor 0 again"
Nexus,Elohim-066_My_beloved_child,66,Detector on F6
Nexus,Elohim-058_Attempting_to_track,58,"After dialog 57, return to cloud world then when main elevator starts moving from floor 0 again"
Any Island Level,Elohim-067_It_is_now_time,67,"Entering level +2s, when having flag ""MessengerEnding"""
Nexus,Elohim-062_Listen_to_me_well,52,Detector after leaving floor 0 building after arriving at floor 0 when having unlocked floor 3
Nexus,Elohim-061_My_child_you_may_go_freely,51,Detector after leaving floor 0 building after arriving at floor 0 when having unlocked floor 2
Nexus,Elohim-059_My_child_have_you_been,59,Detector after leaving floor 0 building after arriving at floor 0 when having unlocked floor 1
Nexus,Elohim-063_Nexus_Ascent_01,63-1,Dectector 1 during staircase to boss puzzle
Nexus,Elohim-063_Nexus_Ascent_02,63-2,Dectector 2 during staircase to boss puzzle
Nexus,Elohim-063_Nexus_Ascent_03,63-3,Dectector 3 during staircase to boss puzzle
Nexus,Elohim-063_Nexus_Ascent_04,63-4,Dectector 4 during staircase to boss puzzle
Nexus,Elohim-063_Nexus_Ascent_05,63-5,"Dectector 5 during staircase to boss puzzle, when not having flag ""NihilistFlag"""
Nexus,Elohim-063_Nexus_Ascent_06,63-6,Dectector 6 during staircase to boss puzzle (awards On The Edge too)
Nexus,Elohim-063_Nexus_Ascent_07a_Please_listen_to_me,63-7a,"Passing first purple barrier at entrance to boss puzzle
Sets flag ""Boss_RespawnVO1"""
Nexus,Elohim-063_Nexus_Ascent_07b_Can_you_not_see,63-7b,"Pressing first boss puzzle elevator switch
Sets flag ""Boss_RespawnVO2"""
Nexus,Elohim-063_Nexus_Ascent_07e_This_world_may_be,63-7e,"Pressing fourth boss puzzle elevator switch
Sets flag ""Boss_RespawnVO5"""
Nexus,Elohim-063_Nexus_Ascent_07d_As_long_as_the_process,63-7d,"Pressing third boss puzzle elevator switch
Sets flag ""Boss_RespawnVO4"""
Nexus,Elohim-063_Nexus_Ascent_07c_This_world_is_our_home,63-7c,"Pressing second boss puzzle elevator switch
Sets flag ""Boss_RespawnVO3"""
Nexus,Elohim-063_Nexus_Ascent_07g_There_is_still,63-7g,"Starting boss puzzle chapter when having flag ""Boss_RespawnVO1"""
Nexus,Elohim-063_Nexus_Ascent_07h_All_this_suffering,63-7h,"Starting boss puzzle chapter when having flag ""Boss_RespawnVO2"""
Nexus,Elohim-063_Nexus_Ascent_07i_If_you_go_back,63-7i,"Starting boss puzzle chapter when having flag ""Boss_RespawnVO3"""
Nexus,Elohim-063_Nexus_Ascent_07j_There_is_no_hope,63-7j,"Starting boss puzzle chapter when having flag ""Boss_RespawnVO4"""
Nexus,Elohim-063_Nexus_Ascent_07k_I_know_you_seek,63-7k,"Starting boss puzzle chapter when having flag ""Boss_RespawnVO5"""
Nexus,Elohim-063_Nexus_Ascent_08,63-8,Reciver for final fan to trancendence starts charging
Nexus,Elohim-063_Nexus_Ascent_07f_In_this_world,63-7f,Pressing fifth boss puzzle elevator switch
Nexus,Elohim-063_Nexus_Ascent_09,63-9,Terminal halt event 1 on trancendence terminal
Nexus,Elohim-065_You_were_always_meant,65,Detector ontop of fan to trancendence ending
Nexus,Elohim-064_You_were_deceived,64,"Dectector 5 during staircase to boss puzzle, when having flag ""NihilistFlag"""
Nexus,Elohim-079_I_fear_the_serpent,79,"On level change, when having flag ""NihilistFlag"""
